id,isimler,cinsiyet
1,Aba,K
2,Abaca,K
3,Abacan,K
4,Abaç,K
5,Abay,E
6,Abayhan,E
7,Abaza,K
8,Abbas,E
9,Abdal,E
10,Abdi,E
11,Abdullah,E
12,Abdurrahman,E
13,Abdülâlim,E
14,Abdülazim,E
15,Abdülaziz,E
16,Abdülbaki,E
17,Abdülbari,E
18,Abdülbasir,E
19,Abdülbasit,E
20,Abdülcabbar,E
21,Abdülcebbar,E
22,Abdülcelil,E
23,Abdülcemal,E
24,Abdülcevat,E
25,Abdülezel,E
26,Abdülferit,E
27,Abdülfettah,E
28,Abdülgaffar,E
29,Abdülgaffur,E
30,Abdülgafur,E
31,Abdülgani,E
32,Abdülhadi,E
33,Abdülhak,E
34,Abdülhakim,E
35,Abdülhalik,E
36,Abdülhalim,E
37,Abdülhamit,E
38,Abdülkadir,E
39,Abdülkahhar,E
40,Abdülkerim,E
41,Abdüllâtif,E
42,Abdülmecit,E
43,Abdülmelik,E
44,Abdülmennan,E
45,Abdülmetin,E
46,Abdülnasır,E
47,Abdülvahap,E
48,Abdülvahit,E
49,Abdürrahim,E
50,Abdürrahman,E
51,Abdürrauf,E
52,Abdürreşit,E
53,Abdürrezzak,E
54,Abdüssamet,E
55,Abdüssami,E
56,Abdüsselâm,E
57,Abdüssemi,E
58,Abdüssettar,E
59,Abdüzzeki,E
60,Abgül,K
61,Abher,K
62,Abıhayat,K
63,Abır,E
64,Abıru,K
65,Abid,E
66,Abide,K
67,Abidin,E
68,Abil,E
69,Abir,E
70,Abit,E
71,Abiye,K
72,Ablak,E
73,Abraş,E
74,Abruy,K
75,Abuşka,E
76,Abuzer,E
77,Abuzettin,E
78,Acabay,E
79,Acabey,E
80,Ağabay,E
81,Ağcabey,E
82,Akabay,E
83,Akabey,E
84,Akçabay,E
85,Alabaş,E
86,Alabay,E
87,Alabegim,K
88,Alabegüm,K
89,Alabezek,K
90,Almabanu,K
91,Anabacı,K
92,Anabörü,K
93,Atabay,E
94,Atabek,E
95,Atabey,E
96,Atabörü,E
97,Ayaba,K
98,Babacan,E
99,Babaç,E
100,Babayiğit,E
101,Babür,E
102,Babürşah,E
103,Balaban,E
104,Cabbar,E
105,Cabir,E
106,Çaba,E
107,Çabar,E
108,Farabi,E
109,Gültab,K
110,Hicabi,E
111,İsabet,K
112,Kabadayı,E
113,Kaban,E
114,Kabil,E
115,Kamertab,K
116,Karabaş,E
117,Karabatak,E
118,Karabay,E
119,Karabet,E
120,Karabey,E
121,Karaboğa,E
122,Karabörü,E
123,Karabudun,E
124,Karabuğday,E
125,Karabuğra,E
126,Karabulut,E
127,Karabükey,E
128,Karacabey,E
129,Kayrabay,E
130,Kocabaş,E
131,Kocabey,E
132,Mehabet,K
133,Muhabbet,K
134,Nabi,E
135,Nabia,K
136,Nabiye,K
137,Necabet,E
138,Necabettin,E
139,Nursabah,K
140,Nuşabe,K
141,Olcabay,E
142,Rabbani,E
143,Rabi,E
144,Rabia,K
145,Rabih,E
146,Saba,U
147,Sabah,U
148,Sabahat,K
149,Sabahattin,E
150,Sabahnur,K
151,Sabar,E
152,Sabbar,U
153,Sabıka,K
154,Sabır,K
155,Sabih,E
156,Sabiha,K
157,Sabir,U
158,Sabire,K
159,Sabit,E
160,Sabite,K
161,Sabiye,K
162,Sabri,E
163,Sabrinnisa,K
164,Sabriye,K
165,Sabur,E
166,Sabutay,E
167,Sahabi,E
168,Sarıcabay,E
169,Şaban,E
170,Şahabettin,E
171,Tabende,K
172,Tabgaç,E
173,Türabi,E
174,Yabalak,E
175,Yaban,E
176,Yabar,E
177,Yabgu,E
178,Yabız,E
179,Yalabuk,E
180,Yalazabay,E
181,Zabit,E
182,Zeynelabidin,E
183,Aca,E
184,Acahan,E
185,Acar,U
186,Acaralp,E
187,Acarbegüm,K
188,Acarbey,E
189,Acarbike,K
190,Acarbüke,K
191,Acarer,E
192,Acarhatun,K
193,Acarkan,U
194,Acarkatun,K
195,Acarman,E
196,Acaröz,E
197,Acarsoy,E
198,Acartürk,E
199,Acatay,E
200,Acıdaş,E
201,Aclan,E
202,Acun,E
203,Acunal,E
204,Acunalan,E
205,Acunalp,E
206,Acunbegim,K
207,Acunbegüm,K
208,Acunbike,K
209,Acunbüke,K
210,Acuner,E
211,Acungüneş,K
212,Acunışık,K
213,Acunman,E
214,Acunseven,E
215,Aça,K
216,Açalya,K
217,Açangül,K
218,Açelya,K
219,Açıkalın,E
220,Açıkel,E
221,Açıker,E
222,Açıkgün,E
223,Açıl,E
224,Açılay,K
225,Açine,E
226,Açkıngül,K
227,Adahan,E
228,Adak,U
229,Adal,U
230,Adalan,E
231,Adalet,K
232,Adalettin,E
233,Adam,E
234,Adamış,E
235,Adanan,E
236,Adanır,U
237,Adar,U
238,Adarkan,E
239,Adasal,E
240,Adaş,E
241,Aday,E
242,Adeviye,K
243,Adıbelli,U
244,Adıgün,E
245,Adıgüzel,U
246,Adın,E
247,Adısanlı,E
248,Adısönmez,E
249,Adışah,K
250,Adıvar,E
251,Adıyahşi,E
252,Adıyaman,E
253,Adil,E
254,Adile,K
255,Adilhan,E
256,Adlan,E
257,Adlı,E
258,Adlığ,E
259,Adli,E
260,Adnan,E
261,Adni,E
262,Adniye,K
263,Adsız,E
264,Adsoy,E
265,Adviye,K
266,Afacan,E
267,Afak,U
268,Afer,E
269,Afet,K
270,Affan,U
271,Afi,K
272,Afif,E
273,Afife,K
274,Afitap,K
275,Afiye,K
276,Afiyet,K
277,Afra,K
278,Afşar,E
279,Afşin,E
280,Agâh,E
281,Agil,E
282,Aguş,K
283,Ağa,E
284,Ağacan,E
285,Ağahan,E
286,Ağahanım,K
287,Ağahatun,K
288,Ağakan,E
289,Ağakatun,K
290,Ağan,U
291,Ağanbegim,K
292,Ağanbegüm,K
293,Ağanbike,K
294,Ağanbüke,K
295,Ağaner,E
296,Ağaoğlu,E
297,Ağar,E
298,Ağarantan,E
299,Ağaverdi,E
300,Ağbacı,K
301,Ağbegim,K
302,Ağbegüm,K
303,Ağbet,K
304,Ağbilek,K
305,Ağca,U
306,Ağça,K
307,Ağçelik,E
308,Ağer,E
309,Ağgül,K
310,Ağın,E
311,Ağırtaş,E
312,Ağış,U
313,Ağkız,K
314,Ağnak,E
315,Ağyar,E
316,Ahen,E
317,Ahenk,K
318,Ahfeş,E
319,Ahıska,E
320,Ahi,E
321,Ahmet,E
322,Ahsen,U
323,Ahter,U
324,Ahu,K
325,Aişe,K
326,Ajda,K
327,Ajlan,E
328,Ak,K
329,Aka,E
330,Akad,E
331,Akadlı,E
332,Akağan,E
333,Akal,E
334,Akalan,E
335,Akalın,U
336,Akalp,E
337,Akaltan,E
338,Akan,E
339,Akanay,U
340,Akaner,E
341,Akansu,E
342,Akant,E
343,Akanyıldız,E
344,Akarca,E
345,Akarçay,E
346,Akarsel,E
347,Akarsu,U
348,Akartuna,E
349,Akartürk,E
350,Akasma,E
351,Akasoy,E
352,Akata,E
353,Akatay,E
354,Akay,U
355,Akaydın,E
356,Akbacı,K
357,Akbal,U
358,Akbaran,E
359,Akbaş,E
360,Akbaşak,U
361,Akbatu,E
362,Akbatur,E
363,Akbay,E
364,Akbayar,E
365,Akbek,E
366,Akbel,E
367,Akbet,E
368,Akbey,E
369,Akbil,E
370,Akbilge,E
371,Akboğa,E
372,Akbora,E
373,Akboy,E
374,Akbörü,E
375,Akbudun,E
376,Akbuğ,E
377,Akbulut,E
378,Akburak,E
379,Akburç,E
380,Akburçak,E
381,Akcan,U
382,Akcebe,E
383,Akcivan,E
384,Akça,U
385,Akçael,E
386,Akçagül,K
387,Akçakan,E
388,Akçakaya,E
389,Akçakıl,E
390,Akçakoca,E
391,Akçal,E
392,Akçalı,E
393,Akçam,E
394,Akçan,E
395,Akçasu,U
396,Akçay,E
397,Akçer,E
398,Akçığır,E
399,Akçıl,U
400,Akçınar,E
401,Akçiçek,K
402,Akçit,E
403,Akçora,E
404,Akdağ,E
405,Akdal,E
406,Akdamar,E
407,Akdemir,E
408,Akdeniz,E
409,Akdes,U
410,Akdik,E
411,Akdiken,E
412,Akdil,E
413,Akdoğ,E
414,Akdoğan,E
415,Akdoğdu,E
416,Akdoğmuş,E
417,Akdoğu,E
418,Akdolun,K
419,Akdora,E
420,Akdoru,E
421,Akdoruk,E
422,Akdöl,E
423,Akduman,E
424,Akdur,E
425,Akdurmuş,E
426,Akel,U
427,Aker,E
428,Akergin,E
429,Akerman,E
430,Akersan,E
431,Akersoy,E
432,Akgil,E
433,Akgiray,E
434,Akgöl,E
435,Akgöze,E
436,Akgüç,E
437,Akgül,K
438,Akgün,E
439,Akgündüz,E
440,Akgüner,E
441,Akgüneş,U
442,Akgüngör,U
443,Akhan,E
444,Akhanım,K
445,Akhun,E
446,Akı,E
447,Akıalp,E
448,Akıl,E
449,Akılbek,E
450,Akıllı,E
451,Akıman,E
452,Akın,E
453,Akınal,E
454,Akınalp,E
455,Akıncı,E
456,Akıncıbay,E
457,Akıner,E
458,Akıneri,E
459,Akıntan,E
460,Akibe,K
461,Akide,K
462,Akif,E
463,Akife,K
464,Akil,E
465,Akile,K
466,Akinci,K
467,Akip,E
468,Akipek,K
469,Akkadın,K
470,Akkan,E
471,Akkar,K
472,Akkaş,E
473,Akkaya,E
474,Akkaynak,E
475,Akkemik,E
476,Akkerman,E
477,Akkılıç,E
478,Akkın,E
479,Akkız,K
480,Akkor,K
481,Akköz,E
482,Akkurt,E
483,Akkuş,E
484,Akkutlu,K
485,Akkuyaş,E
486,Aklan,E
487,Akmaç,E
488,Akman,E
489,Akmanalp,E
490,Akmaner,E
491,Akmaral,K
492,Akmeriç,E
493,Aknur,K
494,Akol,K
495,Akozan,E
496,Akönder,E
497,Akören,E
498,Aköz,E
499,Akpay,E
500,Akpınar,U
501,Akpolat,E
502,Akpulat,E
503,Aksal,E
504,Aksan,E
505,Aksarı,K
506,Aksay,E
507,Aksel,U
508,Aksen,K
509,Akser,E
510,Akses,U
511,Akseven,K
512,Aksevil,K
513,Aksın,U
514,Aksoy,U
515,Aksöğüt,E
516,Aksu,U
517,Aksun,E
518,Aksuna,K
519,Aksunar,E
520,Aksuner,E
521,Aksungur,E
522,Aksülün,K
523,Aksüyek,U
524,Akşın,E
525,Akşit,E
526,Aktaç,U
527,Aktalay,E
528,Aktan,E
529,Aktar,E
530,Aktaş,E
531,Aktay,E
532,Aktekin,E
533,Aktemür,E
534,Aktı,E
535,Aktimur,E
536,Aktolga,E
537,Aktolun,K
538,Aktuğ,E
539,Aktuna,U
540,Aktunç,E
541,Aktün,E
542,Aktürk,E
543,Akün,U
544,Akünal,E
545,Akvarol,E
546,Akyel,E
547,Akyıldız,U
548,Akyiğit,E
549,Akyipek,K
550,Akyol,E
551,Akyön,E
552,Akyurt,E
553,Akyürek,E
554,Akyüz,E
555,Ala,U
556,Alâaddin,E
557,Alaca,E
558,Alacan,E
559,Alaçam,E
560,Alaçuk,E
561,Aladoğan,E
562,Alageyik,K
563,Alagöz,K
564,Alagün,K
565,Alahan,E
566,Alakız,K
567,Alakoç,E
568,Alakurt,E
569,Alakuş,U
570,Alâmet,E
571,Alan,E
572,Alanalp,E
573,Alanay,E
574,Alanbay,E
